state,category,start_postcode,end_postcode
New South Wales,Cities and Major Regional Centres,2259,2259
New South Wales,Cities and Major Regional Centres,2264,2308
New South Wales,Cities and Major Regional Centres,2500,2526
New South Wales,Cities and Major Regional Centres,2528,2535
New South Wales,Cities and Major Regional Centres,2574,2574
New South Wales,Regional Centres and Other Regional Areas,2250,2258
New South Wales,Regional Centres and Other Regional Areas,2260,2263
New South Wales,Regional Centres and Other Regional Areas,2311,2490
New South Wales,Regional Centres and Other Regional Areas,2527,2527
New South Wales,Regional Centres and Other Regional Areas,2536,2551
New South Wales,Regional Centres and Other Regional Areas,2575,2739
New South Wales,Regional Centres and Other Regional Areas,2753,2754
New South Wales,Regional Centres and Other Regional Areas,2756,2758
New South Wales,Regional Centres and Other Regional Areas,2773,2898
Victoria,Cities and Major Regional Centres,3211,3232
Victoria,Cities and Major Regional Centres,3235,3235
Victoria,Cities and Major Regional Centres,3240,3240
Victoria,Cities and Major Regional Centres,3328,3328
Victoria,Cities and Major Regional Centres,3330,3333
Victoria,Cities and Major Regional Centres,3340,3340
Victoria,Cities and Major Regional Centres,3342,3342
Victoria,Regional Centres and Other Regional Areas,3097,3099
Victoria,Regional Centres and Other Regional Areas,3139,3139
Victoria,Regional Centres and Other Regional Areas,3233,3234
Victoria,Regional Centres and Other Regional Areas,3236,3239
Victoria,Regional Centres and Other Regional Areas,3241,3325
Victoria,Regional Centres and Other Regional Areas,3329,3329
Victoria,Regional Centres and Other Regional Areas,3334,3334
Victoria,Regional Centres and Other Regional Areas,3341,3341
Victoria,Regional Centres and Other Regional Areas,3345,3424
Victoria,Regional Centres and Other Regional Areas,3430,3799
Victoria,Regional Centres and Other Regional Areas,3809,3909
Victoria,Regional Centres and Other Regional Areas,3912,3971
Victoria,Regional Centres and Other Regional Areas,3978,3996
Queensland,Cities and Major Regional Centres,4019,4022
Queensland,Cities and Major Regional Centres,4025,4025
Queensland,Cities and Major Regional Centres,4037,4037
Queensland,Cities and Major Regional Centres,4074,4074
Queensland,Cities and Major Regional Centres,4076,4078
Queensland,Cities and Major Regional Centres,4207,4275
Queensland,Cities and Major Regional Centres,4300,4301
Queensland,Cities and Major Regional Centres,4303,4305
Queensland,Cities and Major Regional Centres,4500,4506
Queensland,Cities and Major Regional Centres,4508,4512
Queensland,Cities and Major Regional Centres,4514,4516
Queensland,Cities and Major Regional Centres,4517,4519
Queensland,Cities and Major Regional Centres,4521,4521
Queensland,Cities and Major Regional Centres,4550,4551
Queensland,Cities and Major Regional Centres,4553,4562
Queensland,Cities and Major Regional Centres,4564,4569
Queensland,Cities and Major Regional Centres,4571,4575
Queensland,Regional Centres and Other Regional Areas,4124,4124
Queensland,Regional Centres and Other Regional Areas,4125,4125
Queensland,Regional Centres and Other Regional Areas,4133,4133
Queensland,Regional Centres and Other Regional Areas,4183,4184
Queensland,Regional Centres and Other Regional Areas,4280,4287
Queensland,Regional Centres and Other Regional Areas,4306,4498
Queensland,Regional Centres and Other Regional Areas,4507,4507
Queensland,Regional Centres and Other Regional Areas,4552,4552
Queensland,Regional Centres and Other Regional Areas,4563,4563
Queensland,Regional Centres and Other Regional Areas,4570,4570
Queensland,Regional Centres and Other Regional Areas,4580,4895
Western Australia,Cities and Major Regional Centres,6000,6038
Western Australia,Cities and Major Regional Centres,6050,6083
Western Australia,Cities and Major Regional Centres,6090,6182
Western Australia,Cities and Major Regional Centres,6208,6211
Western Australia,Cities and Major Regional Centres,6214,6214
Western Australia,Cities and Major Regional Centres,6556,6558
South Australia,Cities and Major Regional Centres,5000,5171
South Australia,Cities and Major Regional Centres,5173,5174
South Australia,Cities and Major Regional Centres,5231,5235
South Australia,Cities and Major Regional Centres,5240,5252
South Australia,Cities and Major Regional Centres,5351,5351
South Australia,Cities and Major Regional Centres,5950,5960
Tasmania,Cities and Major Regional Centres,7000,7000
Tasmania,Cities and Major Regional Centres,7004,7026
Tasmania,Cities and Major Regional Centres,7030,7109
Tasmania,Cities and Major Regional Centres,7140,7151
Tasmania,Cities and Major Regional Centres,7170,7177
